nama,alamat,kelurahan,wilayah,telepon,penanggung_jawab,jenis_kopi_yang_diekspor
PT. Torabika Eka Semesta,"Gd. Mayora Lt. 8,  Jl. Tomang Raya No. 21-23, Tomang, Jakarta Barat",Tomang,Jakarta Barat,"021 5655301, 021 5655302, 021 5655303, 021 5655304, 021 5684925",David Lucas,Kopi Bubuk
"PT. Mayora Indah, Tbk","Jl. Telesonik KM. 7,8, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten",Pasir Jaya,Tangerang,,David Lucas,Kopi Bubuk
PT. Tirta Fresindo Jaya,"Jl. Daan Mogot KM. 18, Kalideres, Jakarta Barat",Kalideres,Jakarta Barat,,David Lucas,Kopi Bubuk
PT. Raja Impex,"Komplek Ruko Griya Inti Sentosa, Jl. Griya Agung Blok O/64, Sunter Agung, Jakarta Utara",Sunter Agung,Jakarta Utara,"021 6410650, 021 6410651",Maya Harjani,Kopi Instant
PT. Ratu Intan,"Komplek Ruko Griya Inti Sentosa, Jl. Griya Agung Blok O/72, Sunter Agung, Jakarta Utara",Sunter Agung,Jakarta Utara,021 65832253,Rajesh Baldev Bajaj,Kopi Instant
PT. Intradita Prosimpex,"Jl. Raya Kapuk Kamal No. 6 RT010/RW011, Cengkareng, Jakarta Barat",,Jakarta Barat,"021 5553658, 021 5553657",Lita,Kopi Campuran 3 in 1
CV. Netwings Indonesia,"Duta Mas Fatmawati Blok A1 No. 14-16, Jl. RS. Fatmawati No. 39, Cipete Utara, Jakarta Selatan",Cipete Utara,Jakarta Selatan,"021 7265331, 021 7265361",R. Dave Julian Soepriyadi,Green Bean Coffee
PT. Haldin Pacific Semesta,"Cikarang Industrial Estate, Jl. Jababeka IV Blok C No. 3A, Cikarang, Bekasi",,Bekasi,"021 8934452, 021 8934056",Alisjahbana Haliman,Coffee Essence
PT. Dynamic International,"Jl. Indo Karya Selatan IV Blok D/10, Papanggo, Jakarta Utara",Papanggo,Jakarta Utara,"021 6509133, 021 6509134",Anil Chetan Chandanani,Kopi Bubuk
PT. Inti Eka Trading,"Jl. Perjuangan Gg. Bambu Kuning No. 33A, RT002/RW008, Marga Mulya, Kota Bekasi",Marga Mulya,Bekasi,"021 88957171, 021 88957210",Agus Djauhar T.,Kopi Bubuk
PT. Indo Khalsa Internasional,"Ruko Citra Utama, Jl. Lingkar Luar Barat Blok BL No. 5, Cengkareng, Jakarta Barat",,Jakarta Barat,"021 54374545, 021 5445825",Rajbir Singh,Kopi Bubuk
PT. Tri Cipta Chandra,"Jl. Raya Perancis 9, Komp Gudang No. 9 BX, Jatimulya, Kosambi, Tangerang",Jatimulya,Tangerang,"021 5503441, 021 5502415",John Vicenzo Chandra,Kopi Instant
PT. Trade Servistama Indonesia,"Jl. Raya Pasar Minggu No. 224, Duren Tiga, Jakarta Selatan",Duren Tiga,Jakarta Selatan,"021 79183954, 021 79183957, 021 79183953",Muchsin Mohdar,Kopi Instant
PT. Industri Jamu dan Farmasi Sido Muncul,"Jl. Industri II A No. 19 Raya Kaligawe KM. 4, Kel. Muktiharjo, Semarang, Jawa Tengah",Muktiharjo,Semarang,024 6580559,Drs. Suhadi Susanto,Kopi Instant
PT. Global Quality Commodity,"Komp. Harmoni Plaza Lt. GF-A Apartemen Istana Harmoni, Jl. Suryopranoto No. 2 Blok D-C, Jakarta Pusat",,Jakarta Pusat,"021 6305601, 021 6305605",Enrico Haryanto,Kopi Instant
PT. Olam Indonesia,"Gandaria 8 Office Building Lt. 15 Unit G & H, Jl. Sultan Iskandar Muda, Kebayoran Lama, Jakarta Selatan",Kebayoran Lama,Jakarta Selatan,"021 29303622, 021 29303628",Sunil Kumar Agarwal,Kopi Instant
PT. JMD Sakti International,"Jl. Raya Serang KM. 16, Cikupa, Telagasari, Tangerang",Cikupa,Tangerang,021 4222097,Satish L. Jethmalani,Kopi Instant
PT. GTI Indonesia,"Jl. Balik Papan No. 23, Petojo Selatan, Jakarta Pusat",Petojo Selatan,Jakarta Pusat,021 3522056,Maygie Laksana,Kopi Instant
CV. Fortuna Agro Mandiri,"Jl. Caringin RT. 03/06 Komp. Permata Ayu B4, Kel. Babakan Ciparay, Kota Bandung",Babakan Ciparay,Bandung,022 6076879,Hendra Utama,Kopi Instant
PT. Tri Rahardja,"Jl. Solo Tawangmangu KM. 32 No. 33, Gedangan Karanganyar, Surakarta, Jawa Tengah",Gedangan,Surakarta,0271 7086898,Drs. Nyoto Wardoyo,Kopi Instant
PT. Javanegra Nusantara,"Jl. Nelanpoli No. 46, Sukabumi Utara, Kebon Jeruk, Jakarta Barat",Sukabumi Utara,Jakarta Barat,021 72780119,Restuti,Kopi Instant
PT. Fortunium,"Ruko Medrisio 2 Blok A No. 30 Gading Serpong Paramount, Cihuni, Pagedangan, Kab. Tanggerang",Cihuni,Tangerang,,Johannes H. Gunawan,Kopi Instant
PT. Nutraco Pratama Indonesia,"Komplek Majapahit Permai Blok A-117, Jl. Majapahit No. 18-20, Petojo Selatan, Jakarta Pusat",Petojo Selatan,Jakarta Pusat,"021 3804348, 021 3804349",George Honosutomo,Kopi Bubuk
PT. Indesso Aroma,"Jl. Raya Baturaden KM. 10, Desa Karangtengah, Kec. Baturaden, Kab. Banyumas, Jawa Tengah",Karang Tengah,Banyumas,"0281 681450, 0281 681452",Ir. Winaswan Pratisto,Coffee Essence
PT. POD Indonesia,"Permata Tower Lt. 11 Suite D, Jl. Pluit Selatan Raya Kav. 1, Penjaringan, Jakarta Utara",Penjaringan,Jakarta Utara,"021 30027630, 021 30027632",Pauline,Kopi Instant
PT. Modern and Jakarta,"Komplek Ruko Mega Grosir Cempaka Mas Blok K No. 46, Jl. Letjen Suprapto, Jakarta Pusat",,Jakarta Pusat,"021 42883146, 021 42883147",Abdul Wahid,Kopi Instant
PT. Jico Agung,"Jl. Perintis Kemerdekaan No. 1-3, Pulogadung, Jakarta Timur",Pulogadung,Jakarta Timur,021 4704280,Kim Keum Bae,Kopi Instant
PT. Heracipta Sinar Lestari,"Komplek MOI, French Walk Blok F No. 32, Jl. Boulevard Barat, Kelapa Gading Barat, Jakarta Utara",Kelapa Gading Barat,Jakarta Utara,021 45870990,Ir. IE Sumawi,Kopi Instant
PT. Global Terang Semesta,"Ruko Grand Plaza Jl. Merdeka Blok B No. 8, Kel. Sukajadi, Tangerang, Banten",Sukajadi,Tangerang,"021 5528446, 021 5228454",Burhanudin Yulyus,Kopi Instant
PT. Mega Prosindo,"Ruko Taman Palem Lestari Blok C-5 No. 3B, Cengkareng Barat, Jakarta Barat",Cengkareng Barat,Jakarta Barat,"021 55956705, 021 55956707",Eddy Witono Simon,Kopi Instant
CV. Ajinoriki Yeepi,"Gd. WTC Mangga Dua Lt. 2 Blok A No. 90, Jl. Mangga Dua Raya, Pademangan, Jakarta Utara",Pademangan,Jakarta Utara,021 30018218,Yudis Setiawan,Kopi Instant
PT. Santiang Exports,"Jl. Bendungan Hilir Raya No. 74, CBS Copy Center Lt. 3, Jakarta Pusat",,Jakarta Pusat,,Craig Leighton Owen,Kopi Instant
PT. Quintino's Djava,"Jl. Radio Dalam Raya No. 99, Kebayoran Baru, Jakarta Selatan",Kebayoran Baru,Jakarta Selatan,"021 7223437, 021 7223440",Guiseppe Mario Tarquinio,Kopi Instant
PT. Sayap Mas Utama,"Jl. Tipar Cakung Kav. F 5-7, Cakung Barat, Jakarta Timur",Cakung Barat,Jakarta Timur,"021 4602696, 021 4609208",Hanny Sutanto,Kopi Instant
