pemakai,jumlah_uttp,alamat,kota,diuji_oleh,hasil_pengujian,tanggal_uji,masa_berlaku
KEMENTERIAN ESDM CQ DIREKTORAT JENDERAL MINYAK DAN GAS,2,Jl. HR. Rasuna Said Kav. B.5,Jakarta Selatan,"Momon Duliman, ST., Penera Muda",TUS,2016-09-07,2017-09-07
PT. AKR CORPORINDO TBK,3,"POM Pelayanan ADF JICT, Tanjung Priok ",Jakarta Utara,"Endarto, SE., ST., Penera Muda",TUS,2016-02-09,2017-02-09
"PT. AKR CORPORINDO, Tbk",2,"Gudang AKR Marunda II, KBN Marunda, Jl. Semarang Blok A-6 No. 2",Jakarta Utara,"Momon Duliman, ST., Penera Muda",TUS,2016-03-28,2017-03-28
SPBB 37-0115,8,Jl. Dermaga Muara Angke,Jakarta Utara,"Endarto, SE., ST., Penera Muda",TUS,2016-10-19,2017-10-19
SPBG A 34.02.02,8,"Jl. Raya Daan Mogot, No. 94-95 Pesing",Jakarta Barat,"Momon Duliman, ST., Penera Muda",TUS,2016-06-02,2017-06-02
SPBG COCO 31.A.12503,8,"Jl. RM. Harsono Rt. 07/04 No. 1, Ragunan, Pasar Minggu",Jakarta Selatan,"Momon Duliman, ST., Penera Muda",TUS,2016-04-23,2017-04-23
SPBG COCO 31A.124.02,8,"Jl. Lebak Bulus Raya No. 56,",Jakarta Selatan,"Momon Duliman, ST., Penera Muda",TUS,2016-06-14,2017-06-14
SPBG COCO 31A-11401,4,Jl. Daan Mogot Raya No. 2 ,Jakarta Barat,"Moh. Kosasih, ST., Penera Madya",TUS,2016-01-21,2017-01-21
SPBG COCO A 31.03.03,4,Jl. Raya Bogor Km. 28 Gandaria,Jakarta Timur,"Momon Duliman, ST., Penera Muda",TUS,2016-02-23,2017-02-23
SPBG ENVOGAS,8,Cililitan,Jakarta Timur,"Momon Duliman, ST., Penera Muda",TUS,2016-07-15,2017-07-15
SPBG GAGAS - JUP,2,Terminal Halte Busway Jaya Ancol,Jakarta Utara,"Momon Duliman, ST., Penera Muda",TS,2016-05-09,2017-05-09
SPBG HEK KRAMAT JATI,2,"Jl. Raya Pondok Gede No. 2, Hek, Kramat Jati",Jakarta Timur,"Momon Duliman, ST., Penera Muda",TS,2016-07-21,2017-07-21
SPBG MOBILE REFUELLING UNIT (MRU) PT. GAGAS ENERGI INDONESIA,6,Kawasan IRTI Monas,Jakarta Pusat,"Momon Duliman, ST., Penera Muda",TUS,2016-02-15,2017-02-15
SPBG MRU Pluit,2,"Taman Putra Putri, Pluit",Jakarta Utara,"Momon Duliman, ST., Penera Muda",TS,2016-08-03,2017-08-03
SPBG PT. GAGAS ENERGI INDONESIA,2,"Kantor Pusat PGN, Jl. Kyai haji Zaenal Arifin No. 20",Jakarta Pusat,"Momon Duliman, ST., Penera Muda",TUS,2016-02-22,2017-02-22
SPBKB AKR KAPUK,16,"Jl. Kapuk Raya No. 17, Kapuk Muara, Penjaringan",Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-08-16,2017-08-16
SPBP MABES POLRI,8,"Jl. Trunojoyo No. 3, Kebayoran Baru",Jakarta Selatan,"Tri Sulistiyono, ST., Penera Muda",TUS,2016-03-16,2017-03-16
SPBP POLDA METRO JAYA,4,Jl. Jend. Sudirman 55,Jakarta Pusat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-11-04,2017-11-04
SPBP POLRES JAKARTA BARAT,2,Jl. S. Parman 31,Jakarta Barat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-10-12,2017-10-12
SPBT 32-0319,4,"Jl. RA. Fadillah, Cijantung III, Pasar Rebo",Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-03-30,2017-03-30
SPBT 32-10201,2,"Rumkital dr. Mintoharjo, Jl. Bendungan Hilir 17",Jakarta Pusat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-04-11,2017-04-11
SPBT 32-10701,4,"Jl. Budi Utomo, ",Jakarta Pusat,"Abdul Latief, ST.,  Penera Madya",TUS,2016-09-01,2017-09-01
SPBT 32-12402,2,"Jl. Jati No. 1 Pondok Labu, Cilandak",Jakarta Selatan,"Abdul Latief, ST.,  Penera Madya",TUS,2016-03-11,2017-03-11
SPBT 32-13301,2,"Jl. Urip Sumoharjo, Jatinegara",Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-09-01,2017-09-01
SPBT 32-13603,6,"SPBT Kemhan, Jl. MT. Haryono Cawang",Jakarta Timur,"Misdar, ST., Penera Madya",TS,2016-11-01,2017-11-01
SPBT 32-13802,12,Jl. Mabes Hankam Cilangkap,Jakarta Timur,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-06-16,2017-06-16
SPBT 32-14201,4,Denma Lantamal III - Jl. Tabah Raya Sunter Kodamar,Jakarta Utara,"Akhmadi, Penera Penyelia",TUS,2016-11-14,2017-11-14
SPBT 32-204,2,"Jl. Raya Bogor, Kramat Jati",Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-03-30,2017-03-30
SPBT 32-210,3,"Makodam Jaya, Jl. Mayjen Sutoyo, Cililitan",Jakarta Timur,"Abdul Latief, ST.,  Penera Madya",TUS,2016-03-30,2017-03-30
