nama,alamat,wilayah,penanggung_jawab,telepon,jenis_kopi_yang_diekspor
PT. Triveni Exports,"Gd. Kirana Two Lt. 10-A, Jl. Boulevard Timur No. 88, Kel. Pegangsaan Dua, Kec. Kelapa Gading,",Jakarta Utara,Tirath Bhojumal Hiranandani ,021-3510590,Kopi 
PT. Luckindo Trade and Service,"Ruko Green Garden Blok A 14/18 RT. 005  RW. 003, Kel. Kedoya Utara, Kec. Kebon Jeruk",Jakarta Barat ,Ayrton Adiputra Wibowo ,,Kopi Biji 
PT. Sejong Bio Indonesia,"Gading Mediterania Residence Tower B CB/16/AJ, Kelapa Gading",Jakarta Utara ,Park Young Gue ,021-30042096,Kopi Luwak Arabica 
PT. Langgeng Makmur Kencana,"Jl. Biak No. 4A, Kel. Cideng, Kec. Gambir, ",Jakarta Pusat ,Linda Ngadiman ,,Kopi 
PT. Natural Saribumi Indojaya,"Taman Duta Mas Blok D.9B No. 12 RT. 011/05, Kel. Wijaya Kusuma, Kec. Grogol Petamburan",Jakarta Barat,DR. Libbi Ghazali ,,Kopi 
PT. Palapa Karya Nusa,"Ruko Inkopal Blok 27 I / Lt. 2, Ruko Inkopal, Jl. Kramat Raya No. 27 I RT/RW. 003/002, Kel. Kramat, Kec. Senen",Jakarta Pusat ,Rahmat Dwi Putranto ,,"Kopi Aceh, Medan, Lampung Toraja "
PT. Surya Baru Makmur,"Jl. Yos Sudarso Kav. 48 (Gudang Sanyo)    Blok E No. 6, Kel. Sungai Bambu, Kec. Tanjung Priok",Jakarta Utara ,Vikram Ramesh Kalwani ,021-65837801,Kopi Instan 
PT. Fastrata Buana,"Jl. Suci No. 75 RT. 009, RW. 004, Kel. Susukan, Kec. Ciracas",Jakarta Timur,Hariyanto,,"Kopi (Bubuk, Permen, Minuman)"
PT. Nobel Hita Logistik,"Wisma Taranis Lt. 3, Jl. Bendungan Hilir Raya No. 76, Kel. Bendungan Hilir, Kec. Tanah Abang",Jakarta Pusat ,Budianto Ali ,,Green Bean (Robusta)
PT. Maharaja Pusaka Nusantara,"Melawan Dalam No. 26/4, Lt. 1 RT. 10 / RW. 10, Kel. Mangga Dua Selatan, Kec. Sawah Besar",Jakarta Pusat ,Kasmito Tina ,,Kopi Sangrai
PT. Marubeni Indonesia,"Sinar Mas Land Plaza Tower 2 Lt. 11, Jl. MH. Thamrin Kav. 51, Kel. Gondangdia, Kec. Menteng, ",Jakarta Pusat ,Tomofumi Fukuda ,021-3921117,Kopi Biji 
PT. Agrotropic Nusantara,"Synthesis Square Tower II Lt. 8, Jl. Jend. Gatot Subroto Kav. 64 No. 177A, Kel. Menteng Dalam, Kec. Tebet, ",Jakarta Selatan ,Sukianto Lusli ,,Kopi Biji 
