Provinsi,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,26239,35601,36014,36287,30145,11316,10986,13231,13708,12246
SUMATERA UTARA,19676,28901,31926,32163,21761,24434,20797,26250,23770,24541
SUMATERA BARAT,31533,36512,37328,38056,45965,33436,30868,34005,35362,27902
RIAU,18089,19002,19645,21895,10824,19921,15777,15293,18917,23822
JAMBI,4625,13803,17101,17484,9095,7759,5254,6960,4069,6611
SUMATERA SELATAN,25738,32532,33985,34390,31480,23346,16070,19059,14084,16617
BENGKULU,4146,6327,6473,7213,7614,6531,7508,7075,7707,7284
LAMPUNG,6856,7644,9596,9775,8489,14364,13077,18537,19929,21284
KEP. BANGKA BELITUNG,4776,5590,7697,8577,7982,7794,8062,7789,7930,8786
KEP. RIAU,-,-,-,-,-,900,828,944,834,799
DKI JAKARTA,68906,54091,55565,56917,17418,15415,26502,39070,38227,32405
JAWA BARAT,133378,163851,165877,220150,169203,190462,160488,186405,185937,171586
JAWA TENGAH,173914,175552,176543,185371,256639,175748,157180,151350,131333,111737
DI YOGYAKARTA,21917,18368,19834,24941,19818,13777,12391,12146,12217,12962
JAWA TIMUR,316471,338091,340476,411249,362612,405883,237677,261999,240059,251177
BANTEN,55514,86913,90652,91578,33557,79503,84231,107376,104209,88723
BALI,36596,37535,38326,62763,63662,46934,40708,42921,33492,32102
NUSA TENGGARA BARAT,19468,25019,29059,31412,35026,34197,35005,37482,39587,40247
NUSA TENGGARA TIMUR,17971,26591,27710,30883,25635,20727,26012,31891,30499,28975
KALIMANTAN BARAT,15100,14597,14767,29501,28853,13930,10985,10831,14775,16593
KALIMANTAN TENGAH,12955,10901,10936,11209,15802,13975,13323,12193,10288,11704
KALIMANTAN SELATAN,16867,16085,16325,17277,19665,26110,19496,16016,15103,15116
KALIMANTAN TIMUR,40874,44713,45338,45666,39762,37414,38936,38181,34099,27687
KALIMANTAN UTARA,-,-,-,-,-,1761,1655,1425,1739,1635
SULAWESI UTARA,1871,3271,3431,3437,5586,4078,4299,4174,15607,12923
SULAWESI TENGAH,11967,41947,13701,13942,9173,13305,11546,15805,15254,13312
SULAWESI SELATAN,37827,11638,42287,42344,102474,55138,49602,51869,50846,51335
SULAWESI TENGGARA,10917,2573,11736,11961,13582,11123,11218,11423,11799,13692
GORONTALO,4166,13625,4322,4413,5945,4159,3311,5285,5931,5521
SULAWESI BARAT,1046,1310,2614,2644,2757,1710,1381,1476,2593,2244
MALUKU,5809,3661,3711,4136,3396,4189,4010,5006,5566,5686
MALUKU UTARA,2233,2045,2081,2083,1728,2088,2295,2642,3372,4232
PAPUA BARAT,3252,3670,5351,5285,9892,-,2868,5948,8468,7067
PAPUA,3470,4346,3747,4176,5779,4968,3794,5113,6149,6195
