Provinsi,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,30161,44569,44790,42721,57088,9467,9036,4873,2972,1713
SUMATERA UTARA,25169,25033,25117,25738,21210,11355,7923,13302,12771,5667
SUMATERA BARAT,4671,9363,9812,7074,2441,33,30,1016,69,36
RIAU,221,59,218,229,90,252,180,61,-,1680
JAMBI,3657,14009,14074,12739,5059,1021,122,835,-,349
SUMATERA SELATAN,17924,26548,27608,26170,6807,5066,3190,3446,3194,1262
BENGKULU,2912,2772,2885,3037,2886,-,2813,0,-,0
LAMPUNG,13938,15873,17549,17892,15863,5732,3107,3411,3770,664
KEP. BANGKA BELITUNG,1235,47,89,94,50,107,106,-,467,-
KEP. RIAU,76,-,-,-,-,-,-,0,-,0
DKI JAKARTA,32740,29952,32021,30904,33323,41676,41609,34623,40172,40756
JAWA BARAT,7515,6307,7907,45604,45805,17516,6557,3423,2749,2270
JAWA TENGAH,170260,163235,163419,155048,149154,73903,72453,64593,51009,55671
DI YOGYAKARTA,19486,15165,18204,39898,35833,9920,7377,3918,3852,24880
JAWA TIMUR,129041,131722,132898,119875,56942,66763,34830,56268,42295,42588
BANTEN,3119,2474,2576,1955,311,107,306,194,154,205
BALI,38097,36738,38792,56362,30483,9404,9197,7367,7153,2590
NUSA TENGGARA BARAT,3407,5058,8073,8390,8086,3897,3305,3159,4229,3772
NUSA TENGGARA TIMUR,5998,10908,11233,11825,25190,6269,4795,1814,1944,1731
KALIMANTAN BARAT,3556,4677,4779,3365,2546,-,3863,0,-,0
KALIMANTAN TENGAH,8032,6663,6778,5250,7194,820,520,447,398,284
KALIMANTAN SELATAN,3465,3456,3458,4150,4710,3016,684,447,613,378
KALIMANTAN TIMUR,28501,26754,27337,25710,7550,6785,5088,5788,3039,2960
KALIMANTAN UTARA,-,-,-,-,-,-,-,0,-,0
SULAWESI UTARA,1117,2520,2615,2417,-,-,2944,12,2296,1360
SULAWESI TENGAH,1916,1856,1874,1298,116,203,274,254,187,92
SULAWESI SELATAN,6266,4868,5143,5078,1480,866,619,424,169,94
SULAWESI TENGGARA,388,622,644,346,822,41,28,46,35,54
GORONTALO,-,-,259,198,-,-,151,2073,1806,1784
SULAWESI BARAT,19,422,436,133,219,-,203,0,-,0
MALUKU,1065,1233,1295,-,-,-,1613,313,326,404
MALUKU UTARA,-,835,856,564,378,419,461,0,-,0
PAPUA BARAT,863,709,768,870,1258,-,64,102,565,54
PAPUA,-,69,553,583,294,305,190,380,394,351
