Provinsi,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,3877,4086,4162,4080,9975,2546,2269,624,87,189
SUMATERA UTARA,4424,5148,6504,6382,20017,1673,1168,1127,811,1109
SUMATERA BARAT,10,7,7,-,11,-,-,0,-,0
RIAU,-,-,-,-,-,-,-,0,-,43
JAMBI,1593,3716,3736,3689,2239,109,51,-,-,-
SUMATERA SELATAN,1832,2247,2331,2183,846,147,264,7,-,-
BENGKULU,-,-,-,901,14,-,-,0,-,0
LAMPUNG,551,1055,1169,568,2545,185,307,362,342,-
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,0,-,0
KEP. RIAU,-,-,-,-,-,-,-,0,-,0
DKI JAKARTA,-,-,-,-,1925,1170,2468,-,-,-
JAWA BARAT,60317,62712,94404,95711,109740,66254,40553,42103,39436,32802
JAWA TENGAH,105853,101536,102007,83219,83716,38748,34334,37638,33544,25895
DI YOGYAKARTA,28382,30736,30787,64917,36789,10947,4053,7047,6278,40655
JAWA TIMUR,26703,29937,30110,20338,20603,19970,7316,10561,12184,6524
BANTEN,2427,2216,2320,1636,390,102,308,179,145,236
BALI,-,-,-,-,-,-,-,0,-,0
NUSA TENGGARA BARAT,116,69,70,447,702,-,919,0,-,0
NUSA TENGGARA TIMUR,247,598,625,644,314,101,63,-,3,-
KALIMANTAN BARAT,-,-,-,-,-,-,-,0,-,0
KALIMANTAN TENGAH,393,68,69,-,483,-,576,0,-,0
KALIMANTAN SELATAN,304,883,892,872,951,763,405,335,512,251
KALIMANTAN TIMUR,-,-,-,-,-,-,-,0,-,0
KALIMANTAN UTARA,-,-,-,-,-,-,-,0,-,0
SULAWESI UTARA,-,-,-,-,-,-,-,0,-,0
SULAWESI TENGAH,318,49,51,19,-,-,-,0,-,0
SULAWESI SELATAN,-,-,8,70,57,21,19,4,-,-
SULAWESI TENGGARA,-,-,-,-,-,-,-,0,-,0
GORONTALO,-,-,-,-,-,-,-,0,-,0
SULAWESI BARAT,-,-,-,-,-,-,-,0,-,0
MALUKU,150,-,-,-,-,-,-,0,-,0
MALUKU UTARA,-,-,-,-,-,-,-,0,-,0
PAPUA BARAT,-,-,-,-,-,-,-,0,-,0
PAPUA,-,-,-,-,-,-,-,0,-,0
