Provinsi,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,8224,11345,11369,10693,13021,4983,3937,4259,4744,3482
SUMATERA UTARA,9808,8640,9457,9035,7109,2772,2908,3305,4128,4412
SUMATERA BARAT,9939,9473,9514,7748,7298,6437,6555,5764,7301,6326
RIAU,1144,780,787,802,184,847,249,1242,1776,1657
JAMBI,2765,9206,10076,6508,3388,5032,3953,3847,2769,2395
SUMATERA SELATAN,2687,2750,2770,3320,2005,941,723,789,537,659
BENGKULU,2080,1083,1089,1113,550,986,912,721,813,680
LAMPUNG,609,866,1043,1015,341,88,154,162,141,7
KEP. BANGKA BELITUNG,5,1,-,-,-,-,-,0,10,0
KEP. RIAU,-,-,-,-,-,-,-,-,-,-
DKI JAKARTA,-,-,-,-,2,-,-,10,7,-
JAWA BARAT,6848,4863,4879,3961,2887,3253,2005,1320,1012,711
JAWA TENGAH,8351,7331,7335,5494,6803,3375,3585,3283,3527,3570
DI YOGYAKARTA,53,19,2,-,-,-,-,0,-,-
JAWA TIMUR,77,38,5,8,7,3,4,-,-,3
BANTEN,3336,2670,2685,2481,1361,2038,1410,1398,972,792
BALI,79,87,32,80,88,95,90,30,96,79
NUSA TENGGARA BARAT,6574,6896,7710,6259,5016,5789,4872,4792,5114,4347
NUSA TENGGARA TIMUR,354,265,114,115,291,228,278,397,342,557
KALIMANTAN BARAT,72,92,102,188,241,79,213,129,192,308
KALIMANTAN TENGAH,169,239,183,11,331,180,105,152,117,39
KALIMANTAN SELATAN,3185,4052,4068,2020,1962,2267,2609,2417,3248,2174
KALIMANTAN TIMUR,1235,1095,1104,404,311,192,167,79,81,32
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,6,6,-,-,-,-,-,-,-,-
SULAWESI TENGAH,3,25,3,-,120,1,8,28,37,12
SULAWESI SELATAN,9346,7169,7184,3659,4755,2139,1290,644,597,364
SULAWESI TENGGARA,147,109,110,7,16,8,12,3,27,25
GORONTALO,-,-,-,-,-,-,-,0,-,0
SULAWESI BARAT,8,7,1,2,-,-,-,0,2,1
MALUKU,547,-,-,-,7,30,38,0,53,53
MALUKU UTARA,-,-,-,-,-,-,-,0,-,0
PAPUA BARAT,-,-,-,-,-,-,-,0,-,0
PAPUA,203,329,247,-,308,211,106,189,154,224
