Provinsi,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,-,-,712,-,-,-,-,0,-,0
SUMATERA UTARA,299,183,490,541,172,197,261,263,265,366
SUMATERA BARAT,165,477,-,79,28,63,64,103,72,42
RIAU,-,-,-,-,-,-,-,0,-,0
JAMBI,-,-,-,11,19,-,-,0,-,0
SUMATERA SELATAN,-,-,-,-,-,-,-,0,-,0
BENGKULU,2,-,-,-,-,-,-,0,-,0
LAMPUNG,-,-,-,-,-,-,-,0,-,0
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,0,-,0
KEP. RIAU,-,-,-,-,-,-,-,0,-,0
DKI JAKARTA,-,-,-,-,-,-,-,0,-,0
JAWA BARAT,-,-,1387,-,-,-,-,0,-,0
JAWA TENGAH,230,229,630,40,477,212,95,138,92,104
DI YOGYAKARTA,725,629,112,544,279,147,336,184,165,23
JAWA TIMUR,-,108,-,-,66,-,-,0,-,6
BANTEN,-,-,395,-,-,-,-,0,-,0
BALI,-,-,1707,-,-,-,-,0,-,0
NUSA TENGGARA BARAT,1642,1657,51,1574,1806,1262,992,1344,1455,1297
NUSA TENGGARA TIMUR,12,49,-,55,100,-,-,0,-,0
KALIMANTAN BARAT,-,-,34,-,-,-,-,0,-,0
KALIMANTAN TENGAH,-,-,-,-,-,-,-,0,-,0
KALIMANTAN SELATAN,-,-,-,1231,-,-,-,0,-,0
KALIMANTAN TIMUR,-,-,-,-,-,-,-,0,-,0
KALIMANTAN UTARA,-,-,-,-,-,-,-,0,-,0
SULAWESI UTARA,-,-,-,-,-,-,-,0,-,0
SULAWESI TENGAH,-,-,2424,-,-,-,-,0,-,0
SULAWESI SELATAN,1095,2405,2,-,1674,1487,1610,1260,1113,1256
SULAWESI TENGGARA,4,2,-,-,-,-,-,0,-,0
GORONTALO,-,-,2,-,-,-,-,0,-,0
SULAWESI BARAT,-,2,-,1,1,-,-,0,-,0
MALUKU,-,-,-,-,-,-,-,0,-,0
MALUKU UTARA,-,-,-,-,-,-,-,0,-,0
PAPUA BARAT,-,-,-,-,-,-,-,0,-,0
PAPUA,-,-,-,-,8,-,-,0,-,0
