Provinsi,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,-,2529,2636,2702,-,-,-,0,-,0
SUMATERA UTARA,87483,135736,149116,144119,66488,70419,64283,69727,68681,66761
SUMATERA BARAT,903,792,832,-,1957,1396,938,991,730,733
RIAU,-,-,-,-,661,1562,1988,2363,3881,4396
JAMBI,-,5028,5028,4508,38,552,1160,360,1401,3693
SUMATERA SELATAN,12153,12095,12693,10723,13778,10763,7726,8517,6531,5288
BENGKULU,-,-,-,-,68,-,-,0,-,0
LAMPUNG,1446,1748,1839,1996,1723,237,289,251,186,-
KEP. BANGKA BELITUNG,10206,13971,14166,16037,9171,8295,8915,8569,7165,7616
KEP. RIAU,1045,-,-,-,-,-,22769,16989,16645,25802
DKI JAKARTA,208106,195202,198892,163059,154392,157265,106218,110107,116825,110713
JAWA BARAT,14622,17384,18063,17095,3877,13375,7600,15108,12424,16381
JAWA TENGAH,23495,18658,21327,14963,15315,18547,18443,17920,25671,16502
DI YOGYAKARTA,5010,4050,4151,4296,-,-,4384,0,-,0
JAWA TIMUR,22260,41995,47885,47875,43719,77244,11961,32142,51142,52050
BANTEN,-,-,-,-,-,-,-,0,-,0
BALI,205269,222249,224903,281183,259717,106355,130709,115923,100104,74602
NUSA TENGGARA BARAT,-,2298,2303,2019,2810,2073,2084,3283,2232,2189
NUSA TENGGARA TIMUR,13320,20773,21511,24349,35059,14259,13754,11245,12176,14583
KALIMANTAN BARAT,25990,28768,29336,64347,48171,28690,33477,32018,32127,29165
KALIMANTAN TENGAH,21517,24915,25199,19912,13397,7687,7687,6320,3407,3389
KALIMANTAN SELATAN,-,-,-,-,-,-,-,0,-,0
KALIMANTAN TIMUR,5619,4055,5109,3722,5297,2415,1872,2492,1759,1608
KALIMANTAN UTARA,-,-,-,-,-,2268,1787,1419,1339,1487
SULAWESI UTARA,14880,14805,14922,13181,36084,3318,4500,4444,65976,65811
SULAWESI TENGAH,2910,2069,2095,1624,-,639,733,833,817,2165
SULAWESI SELATAN,7138,6567,6599,4930,3470,2506,930,1165,1798,1877
SULAWESI TENGGARA,199,216,227,40,-,119,111,144,133,120
GORONTALO,-,-,-,-,-,-,-,0,-,0
SULAWESI BARAT,8,50,53,-,-,-,-,0,-,0
MALUKU,6127,2872,2945,3335,2121,2904,2849,2707,2955,2954
MALUKU UTARA,-,1015,1023,8801,3182,167,86,33,57,12
PAPUA BARAT,2131,2727,2775,2578,2432,-,739,575,1184,228
PAPUA,-,587,1900,2152,7461,5046,4545,8632,9304,8477
