 Provinsi ; 1986 ; 1987 ; 1988 ; 1989 ; 1990 ; 1991 ; 1992 ; 1993 ; 1994 ; 1995 ; 1996 ; 1997 ; 1998 ; 1999 ; 2000 ; 2001 ; 2002 ; 2003 ; 2004 ; 2005 ; 2006 ; 2007 ; 2008 ; 2009 ; 2010 ; 2011 ; 2012 ; 2013 ; 2014 ; 2015 ; 2016 ; 2017 ; 2018 
 Aceh ; 2,40 ; 1,67 ; 2,09 ; 3,21 ; 2,28 ; 2,44 ; 1,96 ; 4,01 ; 5,51 ; -   ; 6,47 ; 5,24 ; 6,21 ; 7,56 ; 4,80 ; 7,71 ; 9,34 ; 8,97 ; 9,35 ; 14,00 ; 10,43 ; 9,84 ; 9,56 ; 8,71 ; 8,37 ; 9,00 ; 9,06 ; 10,12 ; 9,02 ; 9,93 ; 7,57 ; 6,57 ; 6,36 
 Sumatera Utara ; 2,38 ; 1,88 ; 2,30 ; 2,43 ; 2,44 ; 2,85 ; 2,84 ; 3,20 ; 5,05 ; -   ; 6,32 ; 5,19 ; 7,06 ; 7,67 ; 8,52 ; 9,09 ; 10,30 ; 11,02 ; 11,08 ; 11,90 ; 11,51 ; 10,10 ; 9,10 ; 8,45 ; 7,43 ; 8,18 ; 6,28 ; 6,45 ; 6,23 ; 6,71 ; 5,84 ; 5,60 ; 5,56 
 Sumatera Barat ; 2,27 ; 1,90 ; 2,32 ; 2,73 ; 2,53 ; 3,01 ; 2,95 ; 2,45 ; 5,24 ; -   ; 4,72 ; 4,54 ; 5,11 ; 5,88 ; 4,38 ; 8,74 ; 9,62 ; 10,38 ; 12,74 ; 13,34 ; 11,87 ; 10,31 ; 8,04 ; 7,97 ; 6,95 ; 8,02 ; 6,65 ; 7,02 ; 6,50 ; 6,89 ; 5,09 ; 5,58 ; 5,55 
 Riau ; 4,01 ; 3,94 ; 3,69 ; 3,88 ; 3,05 ; 3,00 ; 3,54 ; 3,60 ; 5,30 ; -   ; 5,94 ; 5,91 ; 5,76 ; 7,62 ; 5,93 ; 6,43 ; 9,57 ; 10,74 ; 15,25 ; 12,16 ; 10,24 ; 9,79 ; 8,20 ; 8,56 ; 8,72 ; 6,09 ; 4,37 ; 5,48 ; 6,56 ; 7,83 ; 7,43 ; 6,22 ; 6,20 
 Jambi ; 2,38 ; 1,37 ; 2,57 ; 2,26 ; 1,92 ; 2,39 ; 1,96 ; 1,80 ; 2,79 ; -   ; 3,80 ; 4,06 ; 2,59 ; 3,47 ; 3,68 ; 5,61 ; 5,78 ; 6,50 ; 6,04 ; 10,74 ; 6,62 ; 6,22 ; 5,14 ; 5,54 ; 5,39 ; 4,63 ; 3,20 ; 4,76 ; 5,08 ; 4,34 ; 4,00 ; 3,87 ; 3,86 
 Sumatera Selatan ; 2,88 ; 2,40 ; 2,72 ; 3,11 ; 3,06 ; 2,59 ; 3,14 ; 2,58 ; 3,66 ; -   ; 4,02 ; 4,12 ; 2,44 ; 5,03 ; 5,73 ; 6,32 ; 8,14 ; 9,08 ; 8,37 ; 12,82 ; 9,33 ; 9,34 ; 8,08 ; 7,61 ; 6,65 ; 6,60 ; 5,66 ; 4,84 ; 4,96 ; 6,07 ; 4,31 ; 4,39 ; 4,23 
 Bengkulu ; 1,12 ; 1,20 ; 1,38 ; 2,44 ; 1,43 ; 2,22 ; 1,87 ; 2,24 ; 2,89 ; -   ; 3,38 ; 3,42 ; 1,97 ; 3,39 ; 3,25 ; 6,01 ; 6,45 ; 7,48 ; 6,29 ; 8,91 ; 6,04 ; 4,68 ; 4,90 ; 5,08 ; 4,59 ; 3,46 ; 3,62 ; 4,61 ; 3,47 ; 4,91 ; 3,30 ; 3,74 ; 3,51 
 Lampung ; 1,28 ; 1,39 ; 1,03 ; 1,24 ; 0,86 ; 0,89 ; 1,21 ; 1,42 ; 3,29 ; -   ; 4,22 ; 3,44 ; 4,28 ; 4,58 ; 5,24 ; 6,39 ; 8,32 ; 9,14 ; 7,38 ; 8,47 ; 9,13 ; 7,58 ; 7,15 ; 6,62 ; 5,57 ; 6,38 ; 5,20 ; 5,69 ; 4,79 ; 5,14 ; 4,62 ; 4,33 ; 4,06 
 Kepulauan Bangka Belitung ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7,08 ; 5,23 ; 7,37 ; 7,14 ; 7,19 ; 8,99 ; 6,49 ; 5,99 ; 6,14 ; 5,63 ; 3,86 ; 3,43 ; 3,65 ; 5,14 ; 6,29 ; 2,60 ; 3,78 ; 3,65 
 Kepulauan Riau ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12,24 ; 9,01 ; 8,01 ; 8,11 ; 6,90 ; 5,38 ; 5,08 ; 5,63 ; 6,69 ; 6,20 ; 7,69 ; 7,16 ; 7,12 
